[2026-09-08T08:15:56+00:00] monitor started: experiment=realworld-neuraldeep-qwen3827b-baseline-20260908 arms=baseline runs=1 jobs=1 rework_attempts=2
[2026-09-08T08:15:56+00:00] starting attempt 1 (fresh): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --agent opencode --provider opencode_auth --model qwen3.8-27b --thinking none
[2026-09-08T08:15:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: no state.json; experiment processes=1
[2026-09-08T08:16:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:17:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:18:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:19:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:20:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:21:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:22:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:23:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:24:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:25:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:26:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:27:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:28:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:29:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:30:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:31:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:32:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:33:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:34:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T08:35:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
