[2026-08-22T15:40:05+00:00] monitor started: experiment=realworld-opencode-x-preview-f-free-high-all-20260822-1838 arms=baseline,doorstop,graphify,ponytail,strictdoc,supermemory,tdd,thermo-nuclear-code-quality-review,combo-supermemory-graphify,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-doorstop-tdd,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-tdd runs=1 jobs=5 rework_attempts=2
[2026-08-22T15:40:05+00:00] starting attempt 1 (fresh): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-opencode-x-preview-f-free-high-all-20260822-1838 --problem realworld --arms baseline,doorstop,graphify,ponytail,strictdoc,supermemory,tdd,thermo-nuclear-code-quality-review,combo-supermemory-graphify,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-doorstop-tdd,combo-supermemory-graphify-ponytail-thermo-nuclear-code-quality-review-tdd --runs 1 --jobs 5 --agent opencode --provider opencode_auth --model x-preview-f-free --thinking high --rework-attempts 2
[2026-08-22T15:40:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: no state.json; doorstop/run_1: no state.json; graphify/run_1: no state.json; ponytail/run_1: no state.json; +8 more; experiment processes=1
[2026-08-22T15:41:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:42:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:43:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:44:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:45:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:46:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:47:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:48:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:49:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
[2026-08-22T15:50:05+00:00] heartbeat: 0/12 slots complete; pending: baseline/run_1: phase=started stop=started; doorstop/run_1: phase=started stop=started; graphify/run_1: phase=started stop=started; ponytail/run_1: phase=started stop=started; +8 more; experiment processes=16
